qTime	Current
3.23E-01	0.3625
3.24E-01	0.598437
3.25E-01	0.692187
3.26E-01	0.521094
3.27E-01	0.342188
3.28E-01	-0.323437
3.29E-01	-0.235937
3.30E-01	-0.246094
3.31E-01	0.0515625
3.32E-01	0.196875
3.33E-01	0.38125
3.34E-01	0.60625
3.35E-01	0.630469
3.36E-01	0.561719
3.37E-01	0.3
3.38E-01	-0.348437
3.39E-01	-0.258594
3.40E-01	-0.230469
3.41E-01	0.021875
3.42E-01	0.204687
3.43E-01	0.377344
3.44E-01	0.602344
3.45E-01	0.667188
3.46E-01	0.559375
3.47E-01	0.210938
3.48E-01	-0.35625
3.49E-01	-0.232813
3.50E-01	-0.25625
3.51E-01	0.0445312
3.52E-01	0.2
3.53E-01	0.372656
3.54E-01	0.627344
3.55E-01	0.657812
