Time	Vin
0.0194	0.342656
0.01941	0.342656
0.01941	0.344219
0.01942	0.345
0.01942	0.346563
0.01942	0.348125
0.01943	0.349844
0.01943	0.352813
0.01944	0.352656
0.01944	0.354375
0.01944	0.351875
0.01945	0.351094
0.01945	0.351875
0.01946	0.353125
0.01946	0.354688
0.01946	0.352813
0.01947	0.354688
0.01947	0.354219
0.01948	0.355156
0.01948	0.3575
0.01948	0.359688
0.01949	0.359531
0.01949	0.358906
0.0195	0.3575
0.0195	0.35875
0.0195	0.36
0.01951	0.360313
0.01951	0.361563
0.01952	0.361719
0.01952	0.361719
0.01952	0.360938
0.01953	0.36125
0.01953	0.362031
0.01954	0.3625
0.01954	0.360938
0.01954	0.362031
0.01955	0.365625
0.01955	0.366563
0.01956	0.367344
0.01956	0.366563
0.01956	0.367031
0.01957	0.366563
0.01957	0.365313
0.01958	0.365781
0.01958	0.366875
0.01958	0.367344
0.01959	0.367656
0.01959	0.367656
0.0196	0.368438
0.0196	0.369688
0.0196	0.371094
0.01961	0.371875
0.01961	0.3725
0.01962	0.371719
0.01962	0.373438
0.01962	0.374688
0.01963	0.374219
0.01963	0.375469
0.01964	0.375469
0.01964	0.375938
0.01964	0.376719
0.01965	0.377188
0.01965	0.375469
0.01966	0.374688
0.01966	0.375938
0.01966	0.375938
0.01967	0.376563
0.01967	0.376719
0.01968	0.378594
0.01968	0.379531
0.01968	0.381094
0.01969	0.381563
0.01969	0.382031
0.0197	0.383281
0.0197	0.382031
0.0197	0.382812
0.01971	0.384063
0.01971	0.385156
0.01972	0.387656
0.01972	0.388125
0.01972	0.38875
0.01973	0.38875
0.01973	0.387969
0.01974	0.387188
0.01974	0.387344
0.01974	0.38875
0.01975	0.390469
0.01975	0.392188
0.01976	0.392031
0.01976	0.390781
0.01976	0.389688
0.01977	0.39125
0.01977	0.392031
0.01978	0.390781
0.01978	0.389219
0.01978	0.390156
0.01979	0.390469
0.01979	0.391406
0.0198	0.392969
0.0198	0.393281
0.0198	0.395313
0.01981	0.394844
0.01981	0.394219
0.01982	0.392969
0.01982	0.394844
0.01982	0.395781
0.01983	0.396875
0.01983	0.39625
0.01984	0.397031
0.01984	0.398125
0.01984	0.397813
0.01985	0.3975
0.01985	0.398281
0.01986	0.399375
0.01986	0.401094
0.01986	0.401563
0.01987	0.402969
0.01987	0.403125
0.01988	0.404688
0.01988	0.405156
0.01988	0.405156
0.01989	0.40625
0.01989	0.405938
0.0199	0.4075
0.0199	0.409219
0.0199	0.40875
0.01991	0.407969
0.01991	0.4075
0.01992	0.4075
0.01992	0.407031
0.01992	0.409688
0.01993	0.410469
0.01993	0.413125
0.01994	0.41125
0.01994	0.411094
0.01994	0.412031
0.01995	0.410469
0.01995	0.411094
0.01996	0.410469
0.01996	0.41
0.01996	0.410469
0.01997	0.412344
0.01997	0.412344
0.01998	0.412813
0.01998	0.415781
0.01998	0.416406
0.01999	0.418125
0.01999	0.418125
0.02	0.417656
0.02	0.418125
0.02	0.418906
0.02001	0.419375
0.02001	0.418438
0.02002	0.418125
0.02002	0.419688
0.02002	0.418438
0.02003	0.417188
0.02003	0.419688
0.02004	0.421719
0.02004	0.422969
0.02004	0.42375
0.02005	0.425469
0.02005	0.423438
0.02006	0.424531
0.02006	0.422656
0.02006	0.424219
0.02007	0.42375
0.02007	0.422969
0.02008	0.424219
0.02008	0.425469
0.02008	0.42625
0.02009	0.425781
0.02009	0.427344
0.0201	0.4275
0.0201	0.429063
0.0201	0.427969
0.02011	0.427969
0.02011	0.429375
0.02012	0.43
0.02012	0.429063
0.02012	0.427813
0.02013	0.431563
0.02013	0.430625
0.02014	0.431563
0.02014	0.432656
0.02014	0.434844
0.02015	0.436406
0.02015	0.435938
0.02016	0.435469
0.02016	0.435156
0.02016	0.436094
0.02017	0.434375
0.02017	0.434844
0.02018	0.435625
0.02018	0.436875
0.02018	0.436875
0.02019	0.437969
0.02019	0.437656
0.0202	0.437188
0.0202	0.436406
0.0202	0.436719
0.02021	0.439219
0.02021	0.440156
0.02022	0.442031
0.02022	0.442031
0.02022	0.440469
0.02023	0.440938
0.02023	0.442813
0.02024	0.4425
0.02024	0.444063
0.02024	0.44625
0.02025	0.44625
0.02025	0.44625
0.02026	0.446563
0.02026	0.447656
0.02026	0.449688
0.02027	0.452188
0.02027	0.452188
0.02028	0.451719
0.02028	0.452188
0.02028	0.451875
0.02029	0.450156
0.02029	0.452188
0.0203	0.452969
0.0203	0.450938
0.0203	0.450625
0.02031	0.452656
0.02031	0.452969
0.02032	0.454219
0.02032	0.456719
0.02032	0.456406
0.02033	0.456719
0.02033	0.455781
0.02034	0.455781
0.02034	0.455
0.02034	0.453906
0.02035	0.454219
0.02035	0.455938
0.02036	0.456406
0.02036	0.46
0.02036	0.462344
0.02037	0.463125
0.02037	0.460469
0.02038	0.460781
0.02038	0.462344
0.02038	0.461563
0.02039	0.46125
0.02039	0.460781
0.0204	0.461875
0.0204	0.463906
0.0204	0.462813
0.02041	0.463594
0.02041	0.465156
0.02042	0.465313
0.02042	0.466563
0.02042	0.463281
0.02043	0.465625
0.02043	0.465938
0.02044	0.467344
0.02044	0.467969
0.02044	0.469375
0.02045	0.470938
0.02045	0.471719
0.02046	0.472188
0.02046	0.473438
0.02046	0.4725
0.02047	0.472969
0.02047	0.472656
0.02048	0.471719
0.02048	0.473281
0.02048	0.476094
0.02049	0.476094
0.02049	0.472656
0.0205	0.475313
0.0205	0.475469
0.0205	0.476562
0.02051	0.477031
0.02051	0.476719
0.02052	0.478281
0.02052	0.481875
0.02052	0.479844
0.02053	0.479531
0.02053	0.481875
0.02054	0.482344
0.02054	0.480625
0.02054	0.481875
0.02055	0.480781
0.02055	0.479844
0.02056	0.482344
0.02056	0.483438
0.02056	0.483125
0.02057	0.485156
0.02057	0.485938
0.02058	0.485469
0.02058	0.487969
0.02058	0.489219
0.02059	0.489219
0.02059	0.49
0.0206	0.49
0.0206	0.489531
0.0206	0.489219
0.02061	0.49
0.02061	0.489531
0.02062	0.490781
0.02062	0.491563
0.02062	0.490938
0.02063	0.494375
0.02063	0.496406
0.02064	0.495
0.02064	0.495313
0.02064	0.494844
0.02065	0.495781
0.02065	0.495625
0.02066	0.496563
0.02066	0.495625
0.02066	0.498438
0.02067	0.497656
0.02067	0.499063
0.02068	0.497031
0.02068	0.497656
0.02068	0.496875
0.02069	0.498594
0.02069	0.500156
0.0207	0.499844
0.0207	0.501719
0.0207	0.5025
0.02071	0.500938
0.02071	0.501406
0.02072	0.502188
0.02072	0.502188
0.02072	0.502656
0.02073	0.5025
0.02073	0.502656
0.02074	0.503438
0.02074	0.504219
0.02074	0.503906
0.02075	0.5025
0.02075	0.502656
0.02076	0.502969
0.02076	0.503906
0.02076	0.504219
0.02077	0.504219
0.02077	0.506719
0.02078	0.509219
0.02078	0.51
0.02078	0.508594
0.02079	0.509844
0.02079	0.510313
0.0208	0.513125
0.0208	0.514688
0.0208	0.516094
0.02081	0.516719
0.02081	0.516406
0.02082	0.516719
0.02082	0.516875
0.02082	0.516875
0.02083	0.518125
0.02083	0.520781
0.02084	0.522188
0.02084	0.520938
0.02084	0.520938
0.02085	0.519688
0.02085	0.519688
0.02086	0.519375
0.02086	0.520938
0.02086	0.520781
0.02087	0.521719
0.02087	0.522031
0.02088	0.520156
0.02088	0.519219
0.02088	0.520469
0.02089	0.5225
0.02089	0.522188
0.0209	0.522969
0.0209	0.522969
0.0209	0.522813
0.02091	0.522969
0.02091	0.52375
0.02092	0.523281
0.02092	0.522813
0.02092	0.525469
0.02093	0.52625
0.02093	0.525469
0.02094	0.527344
0.02094	0.528281
0.02094	0.528594
0.02095	0.527031
0.02095	0.527813
0.02096	0.5275
0.02096	0.527813
0.02096	0.529063
0.02097	0.528906
0.02097	0.530313
0.02098	0.531563
0.02098	0.531563
0.02098	0.530313
0.02099	0.530625
0.02099	0.532656
0.021	0.533906
0.021	0.536406
0.021	0.538438
0.02101	0.537969
0.02101	0.537656
0.02102	0.537969
0.02102	0.537188
0.02102	0.537969
0.02103	0.538438
0.02103	0.539062
0.02104	0.539531
0.02104	0.53625
0.02104	0.53625
0.02105	0.53875
0.02105	0.538438
0.02106	0.539219
0.02106	0.540469
0.02106	0.541094
0.02107	0.539219
0.02107	0.5375
0.02108	0.539531
0.02108	0.540469
0.02108	0.541563
0.02109	0.5425
0.02109	0.54125
0.0211	0.543125
0.0211	0.545313
0.0211	0.545625
0.02111	0.546563
0.02111	0.548594
0.02112	0.548438
0.02112	0.549375
0.02112	0.549688
0.02113	0.549688
0.02113	0.548125
0.02114	0.548594
0.02114	0.548906
0.02114	0.550625
0.02115	0.550156
0.02115	0.549844
0.02116	0.550625
0.02116	0.553438
0.02116	0.55375
0.02117	0.55375
0.02117	0.555469
0.02118	0.554219
0.02118	0.554219
0.02118	0.55375
0.02119	0.555
0.02119	0.554531
0.0212	0.555781
0.0212	0.5575
0.0212	0.557813
0.02121	0.557969
0.02121	0.559375
0.02122	0.55875
0.02122	0.558594
0.02122	0.5575
0.02123	0.556719
0.02123	0.557031
0.02124	0.557969
0.02124	0.559375
0.02124	0.560625
0.02125	0.561094
0.02125	0.562813
0.02126	0.564063
0.02126	0.564844
0.02126	0.564063
0.02127	0.564844
0.02127	0.567188
0.02128	0.566406
0.02128	0.566094
0.02128	0.566719
0.02129	0.565938
0.02129	0.564688
0.0213	0.563594
0.0213	0.566094
0.0213	0.5675
0.02131	0.566875
0.02131	0.566719
0.02132	0.569688
0.02132	0.572188
0.02132	0.572031
0.02133	0.574531
0.02133	0.574219
0.02134	0.571563
0.02134	0.574844
0.02134	0.574531
0.02135	0.57625
0.02135	0.577813
0.02136	0.57625
0.02136	0.574063
0.02136	0.57375
0.02137	0.575313
0.02137	0.574844
0.02138	0.576875
0.02138	0.577813
0.02138	0.578906
0.02139	0.579063
0.02139	0.579063
0.0214	0.578594
0.0214	0.580625
0.0214	0.580625
0.02141	0.579844
0.02141	0.582188
0.02142	0.581719
0.02142	0.583906
0.02142	0.582969
0.02143	0.582969
0.02143	0.585469
0.02144	0.585938
0.02144	0.584375
0.02144	0.583438
0.02145	0.584375
0.02145	0.585
0.02146	0.587031
0.02146	0.589063
0.02146	0.587813
0.02147	0.589063
0.02147	0.591563
0.02148	0.590781
0.02148	0.592031
0.02148	0.593594
0.02149	0.5925
0.02149	0.593125
0.0215	0.593125
0.0215	0.594375
0.0215	0.593906
0.02151	0.594063
0.02151	0.596406
