Time	Current
7.57E-01	0.770859
7.58E-01	0.744063
7.59E-01	0.832969
7.60E-01	1.03242
7.61E-01	1.27992
7.62E-01	1.45742
7.63E-01	1.48445
7.64E-01	1.36258
7.65E-01	1.14891
7.66E-01	0.911406
7.67E-01	0.759063
7.68E-01	0.738359
7.69E-01	0.834063
7.70E-01	1.04586
7.71E-01	1.29242
7.72E-01	1.44563
7.73E-01	1.46148
7.74E-01	1.34039
7.75E-01	1.13234
7.76E-01	0.902031
7.77E-01	0.755781
7.78E-01	0.740156
7.79E-01	0.842344
7.80E-01	1.05234
7.81E-01	1.29289
7.82E-01	1.45633
7.83E-01	1.47648
7.84E-01	1.35648
7.85E-01	1.14516
7.86E-01	0.905313
7.87E-01	0.758047
7.88E-01	0.740625
7.89E-01	0.837422
7.90E-01	1.0475
7.91E-01	1.29102
7.92E-01	1.45336
7.93E-01	1.47664
7.94E-01	1.35867
7.95E-01	1.14516
7.96E-01	0.906719
7.97E-01	0.758281
7.98E-01	0.744688
7.99E-01	0.846016
8.00E-01	1.05195
8.01E-01	1.28906
8.02E-01	1.44484
8.03E-01	1.46227
8.04E-01	1.34484
8.05E-01	1.13133
8.06E-01	0.893984
8.07E-01	0.755156
8.08E-01	0.744219
8.09E-01	0.855313
8.10E-01	1.06883
8.11E-01	1.30734
8.12E-01	1.46164
8.13E-01	1.46914
8.14E-01	1.34586
8.15E-01	1.13367
8.16E-01	0.897344
8.17E-01	0.754609
8.18E-01	0.741406
8.19E-01	0.845234
8.20E-01	1.05516
8.21E-01	1.30102
8.22E-01	1.45906
8.23E-01	1.46367
8.24E-01	1.33063
8.25E-01	1.11617
8.26E-01	0.887031
8.27E-01	0.747891
8.28E-01	0.743594
8.29E-01	0.856953
8.30E-01	1.07109
8.31E-01	1.31617
8.32E-01	1.4568
8.33E-01	1.4475
8.34E-01	1.31648
8.35E-01	1.1093
8.36E-01	0.880313
8.37E-01	0.747891
8.38E-01	0.751328
8.39E-01	0.868281
8.40E-01	1.08445
8.41E-01	1.31703
8.42E-01	1.46531
8.43E-01	1.47063
8.44E-01	1.34055
8.45E-01	1.12141
8.46E-01	0.887656
8.47E-01	0.752109
8.48E-01	0.749766
8.49E-01	0.855156
8.50E-01	1.06633
8.51E-01	1.30727
8.52E-01	1.45805
8.53E-01	1.45836
8.54E-01	1.32656
8.55E-01	1.11203
8.56E-01	0.881172
8.57E-01	0.751328
8.58E-01	0.754141
8.59E-01	0.871953
8.60E-01	1.0875
8.61E-01	1.33102
8.62E-01	1.47586
8.63E-01	1.47797
8.64E-01	1.34383
8.65E-01	1.12344
8.66E-01	0.887891
8.67E-01	0.756641
8.68E-01	0.751953
8.69E-01	0.866875
8.70E-01	1.08688
8.71E-01	1.33086
8.72E-01	1.48703
8.73E-01	1.47484
8.74E-01	1.32922
8.75E-01	1.10922
8.76E-01	0.880469
8.77E-01	0.750313
8.78E-01	0.755156
8.79E-01	0.8775
8.80E-01	1.10195
8.81E-01	1.34898
8.82E-01	1.48602
8.83E-01	1.46453
8.84E-01	1.31742
8.85E-01	1.10195
8.86E-01	0.870938
8.87E-01	0.7475
8.88E-01	0.754766
8.89E-01	0.878281
8.90E-01	1.10148
8.91E-01	1.34023
8.92E-01	1.47813
8.93E-01	1.46289
8.94E-01	1.31969
8.95E-01	1.09906
8.96E-01	0.873438
8.97E-01	0.749688
8.98E-01	0.758203
8.99E-01	0.8825
9.00E-01	1.10086
9.01E-01	1.33344
9.02E-01	1.47227
9.03E-01	1.46039
9.04E-01	1.31828
9.05E-01	1.09461
9.06E-01	0.870391
9.07E-01	0.749297
9.08E-01	0.762891
9.09E-01	0.889844
9.10E-01	1.10422
9.11E-01	1.33633
9.12E-01	1.47055
9.13E-01	1.45844
9.14E-01	1.3193
9.15E-01	1.09727
9.16E-01	0.871641
9.17E-01	0.751484
9.18E-01	0.760313
9.19E-01	0.883125
9.20E-01	1.09766
9.21E-01	1.3307
9.22E-01	1.46609
9.23E-01	1.46188
9.24E-01	1.32539
9.25E-01	1.09883
9.26E-01	0.871563
9.27E-01	0.753125
9.28E-01	0.758281
9.29E-01	0.879453
9.30E-01	1.09688
9.31E-01	1.33344
9.32E-01	1.46344
9.33E-01	1.44016
9.34E-01	1.29289
9.35E-01	1.07977
9.36E-01	0.862422
9.37E-01	0.746641
9.38E-01	0.762109
9.39E-01	0.889219
9.40E-01	1.10969
9.42E-01	1.34422
9.42E-01	1.47023
9.43E-01	1.44516
9.44E-01	1.29609
9.45E-01	1.07414
9.46E-01	0.859219
9.47E-01	0.746406
9.48E-01	0.760859
9.50E-01	0.892656
9.51E-01	1.11453
9.52E-01	1.33953
9.52E-01	1.47023
9.53E-01	1.44891
9.54E-01	1.30227
9.55E-01	1.08086
9.56E-01	0.862656
9.57E-01	0.747266
9.59E-01	0.762656
9.60E-01	0.895703
9.61E-01	1.11555
9.62E-01	1.35297
9.63E-01	1.48727
9.63E-01	1.45797
9.64E-01	1.30281
9.65E-01	1.0775
9.66E-01	0.860234
9.67E-01	0.748516
9.69E-01	0.761094
9.70E-01	0.893906
9.71E-01	1.12219
9.72E-01	1.35602
9.73E-01	1.49195
9.73E-01	1.46617
9.74E-01	1.30852
9.75E-01	1.08055
9.76E-01	0.86125
9.77E-01	0.749688
9.79E-01	0.760625
9.80E-01	0.89375
9.81E-01	1.11578
9.82E-01	1.34727
9.83E-01	1.46656
9.84E-01	1.43992
9.84E-01	1.28906
9.85E-01	1.06938
9.86E-01	0.855391
9.87E-01	0.746719
9.89E-01	0.759063
9.90E-01	0.887891
9.91E-01	1.11063
9.92E-01	1.34383
9.93E-01	1.4743
9.94E-01	1.44172
9.95E-01	1.2843
9.95E-01	1.06766
9.96E-01	0.853047
9.98E-01	0.745
9.99E-01	0.760625
