Time	Duty
8.63E-01	45%
8.64E-01	41%
8.65E-01	41%
8.66E-01	40%
8.67E-01	42%
8.68E-01	45%
8.69E-01	47%
8.70E-01	48%
8.71E-01	49%
8.72E-01	48%
8.73E-01	42%
8.74E-01	41%
8.75E-01	40%
8.76E-01	40%
8.77E-01	43%
8.78E-01	46%
8.79E-01	47%
8.80E-01	48%
8.81E-01	49%
8.82E-01	47%
8.83E-01	42%
8.84E-01	40%
8.85E-01	40%
8.86E-01	40%
8.87E-01	43%
8.88E-01	46%
8.89E-01	47%
8.90E-01	48%
8.91E-01	48%
8.92E-01	47%
8.93E-01	42%
8.94E-01	40%
8.95E-01	40%
8.96E-01	40%
8.97E-01	44%
8.98E-01	46%
8.99E-01	47%
9.00E-01	48%
9.01E-01	48%
9.02E-01	46%
9.03E-01	43%
9.04E-01	40%
9.05E-01	40%
9.06E-01	41%
9.07E-01	44%
9.08E-01	47%
9.09E-01	47%
9.10E-01	47%
9.11E-01	48%
9.12E-01	46%
9.13E-01	43%
9.14E-01	41%
9.15E-01	40%
9.16E-01	41%
9.17E-01	44%
9.18E-01	45%
9.19E-01	46%
9.20E-01	48%
9.21E-01	47%
9.22E-01	47%
9.23E-01	45%
9.24E-01	41%
9.25E-01	41%
9.26E-01	40%
9.27E-01	42%
9.28E-01	45%
9.29E-01	46%
9.30E-01	47%
9.31E-01	48%
9.32E-01	47%
9.33E-01	41%
9.34E-01	42%
9.35E-01	40%
9.36E-01	40%
9.37E-01	44%
9.38E-01	45%
9.39E-01	47%
9.40E-01	47%
9.42E-01	48%
9.42E-01	46%
9.43E-01	42%
9.44E-01	40%
9.45E-01	40%
9.46E-01	40%
9.47E-01	43%
9.48E-01	45%
9.50E-01	48%
9.51E-01	48%
9.52E-01	47%
9.52E-01	46%
9.53E-01	43%
9.54E-01	41%
9.55E-01	40%
9.56E-01	40%
9.57E-01	42%
9.59E-01	46%
9.60E-01	47%
9.61E-01	47%
9.62E-01	48%
9.63E-01	47%
9.63E-01	42%
9.64E-01	40%
9.65E-01	40%
9.66E-01	41%
9.67E-01	42%
9.69E-01	46%
9.70E-01	47%
9.71E-01	48%
9.72E-01	48%
9.73E-01	47%
9.73E-01	42%
9.74E-01	40%
9.75E-01	40%
9.76E-01	40%
9.77E-01	42%
9.79E-01	45%
9.80E-01	46%
9.81E-01	48%
9.82E-01	47%
9.83E-01	46%
9.84E-01	43%
9.84E-01	40%
9.85E-01	40%
9.86E-01	40%
9.87E-01	42%
9.89E-01	44%
9.90E-01	47%
9.91E-01	48%
9.92E-01	48%
9.93E-01	47%
9.94E-01	42%
9.95E-01	41%
9.95E-01	39%
9.96E-01	40%
9.98E-01	41%
9.99E-01	44%
